cip 1.000 3.574304018221044e-07, 2.015337685941733} 0.26908447712879674
picip 1.000 0.00022998638539612062, 818.546730706903} 0.34111406342655326
refpen 1.000 0.004348083467104509, 135.03140378698723} 0.31178545246877265
dpiu3d 1.000 6.126804780573309e-08, 0.1} 0.5125710749474055
dpic3d 1.000 1.9855111964445787e-07, 6.700187503509587} 0.22942287663790598
piu3d 1.000 1.2164839490258502e-05, 0.1} 0.34046184403409696
rpi 1.000 0.0001277564921467113, 246.20924014946254} 0.3397991118970755
rmol 1.000 0.00022998638539612062, 246.20924014946254} 0.33500855052594186
frame4 1.000 7.096820647674746e-05, 3.674661940736688} 0.30560111621356295
mgeomty 1.000 0.0007453159674382277, 246.20924014946254} 0.33347752933890723
c3dmrs 1.000 1.2164839490258502e-05, 12.216773489967919} 0.39361740262760503
dmre3d 0.985 0.00022998638539612062, 0.1} 0.9910845405119929
dmrv3d 1.000 0.0024153425010859466, 0.6061898993497572} 0.3071456910043234
dpip3d 1.000 0.00022998638539612062, 2721.3387683753085} 0.3125173069551051
e3dmrs 0.971 1e-09, 0.1} 2.0760642853716447
neardisfft 1.000 2.189906294605913e-05, 0.1} 0.409159972735923
pie3d 0.988 7.096820647674746e-05, 0.1} 0.540372135800276
dmrm3d 0.998 6.757518355386216e-06, 0.1} 0.4557122562164207
pip3d 1.000 2.0852058572487536e-06, 135.03140378698723} 0.3644462003059962
p3dmrs 1.000 0.0024153425010859466, 4961.947603002898} 0.3043739183704334
pigeomty 1.000 2.0852058572487536e-06, 6.700187503509587} 0.31646376112880503
piv3d 1.000 0.0001277564921467113, 0.18233480008684413} 0.29136473779442656
u3dmrs 0.991 1e-09, 0.1} 0.4176962515996567
dmrp3d 1.000 3.574304018221044e-07, 74.05684692262435} 0.318110655156137
dpie3d 0.990 0.00022998638539612062, 0.1} 0.5324032822937901
dpiv3d 1.000 0.00022998638539612062, 0.18233480008684413} 0.31463497148356934
m3dmrs 0.997 0.0001277564921467113, 0.1} 0.4186345001024639
pic3d 1.000 0.0024153425010859466, 448.9251258218603} 0.5387083258239357
pim3d 0.997 2.189906294605913e-05, 0.1} 0.300380922305369
v3dmrs 1.000 0.0024153425010859466, 0.33245979322709407} 0.2998482977053306
dmrc3d 1.000 6.757518355386216e-06, 22.275429519995566} 0.3217023269258176
dmru3d 0.991 0.0013417128354799117, 0.1} 0.44091764363444635
dpim3d 0.997 0.00022998638539612062, 0.1} 0.3385836138171179
dsall
