cip 0.969 0.004348083467104509, 12.216773489967919} 3.4324811548061556
picip 0.948 0.007827390868337489, 74.05684692262435} 5.509513724876057
refpen 0.888 0.014090816855117302, 1.1052951411260215} 10.003302701390862
dpiu3d 0.746 0.004348083467104509, 0.1} 11.103675971404487
dpic3d 0.979 6.757518355386216e-06, 2.015337685941733} 3.7482771934536547
piu3d 0.723 0.0013417128354799117, 0.1} 11.244669982439477
rpi 0.886 0.045664054323381637, 6.700187503509587} 10.065234893630084
rmol 0.855 0.1479833198237527, 2.015337685941733} 12.047047867538135
frame4 0.919 0.26639858572587677, 2.015337685941733} 8.066682856121735
mgeomty 0.858 0.26639858572587677, 3.674661940736688} 12.09133326751496
c3dmrs 0.918 0.0013417128354799117, 2.015337685941733} 9.667526198290007
dmre3d -0.569 1e-09, 0.1} 36.758260467452715
dmrv3d 0.950 0.08220412614574893, 0.1} 6.749084298294049
dpip3d 0.965 0.0004140199576459216, 135.03140378698723} 5.210358807160629
e3dmrs -0.569 1e-09, 0.1} 36.7850901007603
neardisfft 0.817 0.26639858572587677, 0.33245979322709407} 12.495630416624383
pie3d -0.524 1e-09, 0.1} 36.01158756120145
dmrm3d 0.385 1e-09, 0.1} 19.222283701232797
pip3d 0.964 0.0024153425010859466, 246.20924014946254} 5.910018493879091
p3dmrs 0.945 0.0013417128354799117, 74.05684692262435} 7.474586771744362
pigeomty 0.890 0.08220412614574893, 12.216773489967919} 10.071776864909138
piv3d 0.959 0.045664054323381637, 0.1} 5.506985491167373
u3dmrs -0.316 1e-09, 0.1} 31.559110273843014
dmrp3d 0.958 0.0024153425010859466, 135.03140378698723} 5.593117892847632
dpie3d -0.484 1e-09, 0.1} 35.24622256212052
dpiv3d 0.959 0.08220412614574893, 0.1} 5.713097680122399
m3dmrs 0.184 1e-09, 0.1} 22.427374505425753
pic3d 0.859 0.014090816855117302, 74.05684692262435} 11.839694568950913
pim3d 0.641 1e-09, 0.1} 13.851263533345017
v3dmrs 0.936 0.1479833198237527, 0.1} 7.964486474497601
dmrc3d 0.932 0.0007453159674382277, 2.015337685941733} 9.11832245396538
dmru3d -0.249 1e-09, 0.1} 32.414468063994235
dpim3d 0.681 0.0004140199576459216, 0.1} 12.764001634718552
dsall 0.875 0.014090816855117302, 0.33245979322709407} 9.46022863050228
