cip 0.905 0.014090816855117302, 10.0} 4.870969143604554
picip 0.687 0.007827390868337489, 10.0} 10.328341205399305
refpen 0.631 0.26639858572587677, 1.6926666150378726} 12.365212109141067
dpiu3d 0.927 2.0852058572487536e-06, 3.9810717055349695e-05} 4.720926094783161
dpic3d 0.927 6.757518355386216e-06, 0.5179474679231202} 4.70456830164768
piu3d 0.923 6.757518355386216e-06, 3.9810717055349695e-05} 4.95537965822352
rpi 0.668 0.1479833198237527, 5.531681197617216} 11.820197626841692
rmol 0.633 0.4795689579154599, 3.0599496872071836} 12.305733791680902
frame4 0.825 0.26639858572587677, 1.6926666150378726} 6.98907787434605
mgeomty 0.636 0.4795689579154599, 3.0599496872071836} 12.264308477248827
c3dmrs 0.862 0.0007453159674382277, 3.0599496872071836} 7.247949128099767
dmre3d 0.852 0.025366194557577968, 0.00013010252169108302} 6.621178753150191
dmrv3d 0.859 0.045664054323381637, 0.04849693428528191} 6.682128654633406
dpip3d 0.818 1.1583232862547104e-06, 10.0} 7.584827597468618
e3dmrs 0.845 0.045664054323381637, 0.00013010252169108302} 6.948583433603606
neardisfft 0.617 0.8633168407011566, 0.9363292088239398} 11.876649088953057
pie3d 0.861 0.007827390868337489, 0.0004251786303382886} 6.631106017014964
dmrm3d 0.854 0.025366194557577968, 0.002511886431509577} 6.85793813384945
pip3d 0.810 1.1583232862547104e-06, 10.0} 7.73575205830934
p3dmrs 0.809 6.757518355386216e-06, 10.0} 7.715300196125905
pigeomty 0.671 0.1479833198237527, 5.531681197617216} 11.75111083400062
piv3d 0.861 0.007827390868337489, 0.08767123872968668} 6.631788043636401
u3dmrs 0.891 1.8001933328915444e-09, 1.1406249238513202e-06} 5.8260491594989485
dmrp3d 0.849 6.757518355386216e-06, 10.0} 6.974417513441354
dpie3d 0.868 0.007827390868337489, 0.0004251786303382886} 6.366284214890063
dpiv3d 0.868 0.007827390868337489, 0.08767123872968668} 6.3674250095344735
m3dmrs 0.811 0.025366194557577968, 0.002511886431509577} 7.694214922666825
pic3d 0.646 0.0013417128354799117, 10.0} 12.026628371605268
pim3d 0.861 0.007827390868337489, 0.00454090961097247} 6.611397256184911
v3dmrs 0.820 0.025366194557577968, 0.04849693428528191} 7.36543874020584
dmrc3d 0.878 0.007827390868337489, 10.0} 6.6123025326402
dmru3d 0.893 1.8905829836907567e-08, 2.0619860095022193e-06} 5.789881349530311
dpim3d 0.868 0.007827390868337489, 0.00454090961097247} 6.33387008903578
dsall 0.668 0.045664054323381637, 0.5179474679231202} 10.96494902607692
