 m n lenL1 lenS1 Hright1 Hleft1 Area1 CosA1 lenL2 lenS2 Hright2 Hleft2 Area2 CosA2 Dcen Datom Dcenp1 Dcenp2 CosL CosS CosN CosO AreaPJ
    1  559    1.41182    1.09448    0.25549    1.12414    0.94002    0.96026    1.40533    1.10042    0.26072    1.14486    0.92068    0.95057    0.99737    0.23297   -0.05270   -0.94846    0.00285   -0.46518   -0.04445    0.31390   -0.00050
    1  610    1.41182    1.09448    0.25549    1.12414    0.94002    0.96026    1.37535    1.09053    0.26242    1.12999    0.90874    0.91728    1.04018    0.22446    0.08807   -0.83973    0.10237    0.04518   -0.14121    0.05146   -0.03932
    1  645    1.41182    1.09448    0.25549    1.12414    0.94002    0.96026    1.39630    1.08619    0.27628    1.13363    0.93120    0.95771    0.57280    0.29000    0.56730    0.19435    0.93948    0.92561    0.13718    0.61135    0.14934
    1  785    1.41182    1.09448    0.25549    1.12414    0.94002    0.96026    1.40202    1.09126    0.26513    1.13527    0.92331    0.97784    0.51220    0.25865   -0.09289   -0.45857   -0.95994   -0.93130   -0.12711    0.55506    0.13843
    1 1372    1.41182    1.09448    0.25549    1.12414    0.94002    0.96026    1.41682    1.11006    0.26591    1.16417    0.92404    0.84711    1.30716    0.45651   -0.45612   -0.94184    0.37203    0.75505    0.11050    0.54455    0.11173
    1 1392    1.41182    1.09448    0.25549    1.12414    0.94002    0.96026    1.40586    1.09404    0.28108    1.15042    0.93380    0.99909    0.49307    0.24880    0.23082   -0.47905   -0.96955   -0.70436    0.00869   -0.38617   -0.00956
    1 1499    1.41182    1.09448    0.25549    1.12414    0.94002    0.96026    1.38501    1.10161    0.24543    1.12717    0.91462    0.83091    1.17671    0.47780   -0.24687   -1.12138   -0.04864   -0.10827    0.18878   -0.19294   -0.15200
    1 1583    1.41182    1.09448    0.25549    1.12414    0.94002    0.96026    1.40036    1.07874    0.27626    1.13325    0.91748    0.93179    0.62908    0.19146    0.37897    0.20283    0.99325    0.99406    0.20031    0.92162    0.22418
    1 1633    1.41182    1.09448    0.25549    1.12414    0.94002    0.96026    1.42570    1.10120    0.27424    1.15922    0.93430    0.98557    1.10336    0.27921    0.43116   -0.19074   -0.07787    0.89187   -0.19614   -0.89626    0.01752
    1 1841    1.41182    1.09448    0.25549    1.12414    0.94002    0.96026    1.38961    1.07812    0.25536    1.10169    0.92809    0.99231    0.54007    0.25972   -0.49806   -0.03237    0.93854    0.76926    0.02243   -0.06265    0.02376
