m n xshort ynoraml zshort anglelong angleshort anglenormal
    1  559   -0.47110    0.06283    0.93515    1.56795    2.15369    1.34065
    1  610    0.22377    0.03912    0.96638    1.46824    2.16392    1.33280
    1  645    0.03945    0.55559    0.06754    0.34969    1.11827    1.17763
    1  785    0.47483    0.11205    0.03487    2.85760    2.16407    1.01323
    1 1372    1.05220    0.48099    0.68983    1.18960    0.81137    1.18709
    1 1392    0.45554    0.22601    0.07950    2.89419    1.31868    1.85241
    1 1499    0.35710    0.22475    1.07076    1.61945    0.80718    1.57309
    1 1583    0.49836    0.36257    0.07585    0.11624    0.33154    0.35148
    1 1633    0.24399    0.40309    1.00441    1.64874    1.53891    2.79006
    1 1841   -0.11540    0.50926    0.17123    0.35242    1.67776    1.71361
    1 1907    0.37375    0.35958    0.04517    3.01040    2.38576    0.74348
    2   16    0.86173    0.05427    0.35397    1.88109    1.29429    2.68064
    2   75   -0.06139    0.46960    0.41794    0.16937    1.11017    1.12608
    2   93    0.30606    1.02536    0.10847    1.76237    2.25646    1.51669
    2  210    0.67755    0.83761    0.41468    1.52708    2.06720    1.58915
    2  222    0.11814    0.72733    0.44464    1.13575    2.14443    1.83312
    2  274   -0.52592    0.28916    0.43428    2.79702    0.35197    2.99732
    2  305   -1.03999    0.35629    0.83643    2.12341    1.42689    2.23709
    2  406    0.03036    1.12832    0.27681    1.62287    1.78393    1.57562
    2  466   -0.34687    0.86867    0.53219    1.58756    2.10741    1.64700
    2  627   -0.30671    0.11784    1.32337    0.51894    1.00747    0.87744
    2  671    0.40081    0.13662    0.43321    2.81621    1.05769    2.14102
    2  815    0.24952    0.97262    0.65501    1.49896    0.76601    1.57115
    2  826    0.74836    0.16798    1.02875    2.28987    2.31425    0.30123
    2  853    0.10621    0.91288    0.70388    1.34610    2.95978    1.81171
    2 1588   -0.32375    0.95900    1.05221    1.75824    0.09244    1.75524
    2 1634   -0.12736    1.13332    0.33373    1.56137    1.85476    1.49422
    2 1651    0.11710    0.65785    1.22944    1.86969    2.29255    1.43867
    2 1674    0.56907    0.72690    0.99652    1.49850    0.93306    1.41081
    2 1769    0.48725    0.43306    0.61521    2.06943    1.89293    1.72369
    2 1993    0.76670    0.06099    0.37543    2.06845    1.06275    2.63149
    3   14    0.59042    0.05473    0.07530    0.14345    0.92939    0.93849
    3   58   -0.10858    0.70613    1.09050    1.05389    2.49876    2.25121
    3   90   -0.46797    0.17548    0.31648    0.29447    2.49510    2.55369
    3  121    0.52281    0.64377    1.07157    1.14837    2.61554    2.11326
    3  404   -0.12869    0.34742    1.37678    2.36865    2.79433    0.69223
    3  507    0.51838    0.85612    0.06014    1.01368    1.53433    1.89874
